machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_sales_4w,avg_gross_profit_4w,recent_week_count,avg_operation_12w,avg_gross_profit_12w,recent12_week_count,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,is_active,latest_operation_score,recent4_operation_score,recent12_operation_score,recent_profit_score,long_lifecycle_score,latest_rank_in_category,recent_rank_penalty,active_popularity_score,legend_score,asset_score,active_grade,legend_grade,asset_grade,ai_comment
Pうまい棒 4500から10500 V1,P,2021-10-13,2,44475.0,46430,42520,83538.0,84999,18080.5,20375,2021-10-20,42520,82077,20375,2,,,,,,,,P_aff8e215b5,Pうまい棒 4500から10500 V1,平和,,,パチンコ,False,False,False,100.0,,,,0.88,1.0,0,,68.01,,D,B,D,Pうまい棒 4500から10500 V1は最新稼働42520、直近4週平均稼働0、稼働貢献週2週。現役人気指数nan、長期名機指数68.0、ホール資産指数nan。
P Re:ゼロから始める異世界生活 鬼がかりver.,P,2022-01-19,139,24887.266187050358,47540,8250,50646.69784172662,89578,8933.863309352519,18575,2025-02-05,8770,19274,3564,119,,,,,,,,P_c1af1c56c9,P Re:ゼロから始める異世界生活 鬼がかりver.,大都技研,リゼロ,鬼がかり,パチンコ,False,False,False,18.45,,,,52.65,647.0,20,,62.22,,D,B,D,P Re:ゼロから始める異世界生活 鬼がかりver.は最新稼働8770、直近4週平均稼働0、稼働貢献週119週。現役人気指数nan、長期名機指数62.2、ホール資産指数nan。
Pパチンコ 新世紀エヴァンゲリオン ～未来への咆哮～,P,2021-12-29,81,33071.358024691355,47100,24910,64585.62962962963,87643,7985.320987654321,14078,2023-07-26,27170,54566,6194,81,,,,,,,,P_282eb90cf7,Pパチンコ 新世紀エヴァンゲリオン ～未来への咆哮～,ビスティ,エヴァンゲリオン,,パチンコ,False,False,False,62.91,,,,35.84,4.0,0,,62.05,,D,B,D,Pパチンコ 新世紀エヴァンゲリオン ～未来への咆哮～は最新稼働27170、直近4週平均稼働0、稼働貢献週81週。現役人気指数nan、長期名機指数62.0、ホール資産指数nan。
e 東京喰種 超デカ 超一撃 ver.,P,2026-06-17,2,42600.0,43930,41270,93030.0,94685,12211.5,13047,2026-06-24,41270,91375,13047,2,42600.0,93030.0,12211.5,2.0,42600.0,12211.5,2.0,P_7513f0ecaf,e 東京喰種 超デカ 超一撃 ver.,ビスティ,東京喰種,,スマパチ,True,False,True,96.98,100.0,100.0,71.68,0.88,2.0,0,91.31,60.65,68.49,S,B,B,e 東京喰種 超デカ 超一撃 ver.は最新稼働41270、直近4週平均稼働42600、稼働貢献週2週。現役人気指数91.3、長期名機指数60.6、ホール資産指数68.5。
P魔法少女まどか☆マギカ3 LM3,P,2024-06-12,13,36170.0,44640,25670,76995.07692307692,90642,13586.23076923077,15696,2024-09-11,25670,55778,8824,13,,,,,,,,P_98f2441ab7,P魔法少女まどか☆マギカ3 LM3,京楽産業．,まどか☆マギカ,,パチンコ,False,False,False,59.29,,,,5.75,5.0,0,,58.97,,D,B,D,P魔法少女まどか☆マギカ3 LM3は最新稼働25670、直近4週平均稼働0、稼働貢献週13週。現役人気指数nan、長期名機指数59.0、ホール資産指数nan。
ぱちんこCR聖戦士ダンバイン FWN,P,2019-09-04,118,23597.71186440678,35040,16940,50013.05084745763,70567,10444.271186440677,16463,2022-01-26,20720,44110,12095,118,,,,,,,,P_21f9173f52,ぱちんこCR聖戦士ダンバイン FWN,サミー,,,パチンコ,False,False,False,47.33,,,,52.21,13.0,0,,57.25,,D,B,D,ぱちんこCR聖戦士ダンバイン FWNは最新稼働20720、直近4週平均稼働0、稼働貢献週118週。現役人気指数nan、長期名機指数57.2、ホール資産指数nan。
P大海物語5 MTE2,P,2023-02-15,168,20555.714285714286,36320,14990,33220.982142857145,55616,2595.095238095238,5126,2026-06-24,17570,28572,2203,168,16328.333333333334,26486.0,1941.0,6.0,16949.23076923077,2202.0,13.0,P_0264d647ff,P大海物語5 MTE2,三洋,海物語,大海5,パチンコ,False,False,True,39.72,29.64,31.57,15.2,74.34,29.0,0,33.74,55.59,33.53,D,B,D,P大海物語5 MTE2は最新稼働17570、直近4週平均稼働16328、稼働貢献週168週。現役人気指数33.7、長期名機指数55.6、ホール資産指数33.5。
e Re:ゼロから始める異世界生活 season2 M13,P,2023-11-29,99,21960.60606060606,50680,7760,48095.757575757576,100891,6709.858585858586,18137,2026-01-07,12320,28387,4738,88,,,,,,,,P_61994a3e89,e Re:ゼロから始める異世界生活 season2 M13,大都技研,リゼロ,Season2,スマパチ,True,False,False,27.03,,,,38.94,178.0,20,,55.43,,D,B,D,e Re:ゼロから始める異世界生活 season2 M13は最新稼働12320、直近4週平均稼働0、稼働貢献週88週。現役人気指数nan、長期名機指数55.4、ホール資産指数nan。
eリコリス・リコイル M3,P,2026-04-15,11,31422.727272727272,43280,22580,71715.18181818182,95087,10762.272727272728,14884,2026-06-24,22580,52532,7790,11,25790.0,59708.0,8470.166666666666,6.0,31422.727272727272,10762.272727272728,11.0,P_dc3a0db759,eリコリス・リコイル M3,ニューギン,,,スマパチ,True,False,True,51.82,54.98,70.18,51.11,4.87,9.0,0,53.42,52.35,50.55,C,C,C,eリコリス・リコイル M3は最新稼働22580、直近4週平均稼働25790、稼働貢献週11週。現役人気指数53.4、長期名機指数52.4、ホール資産指数50.5。
e 東京喰種 W,P,2025-04-30,57,25497.543859649122,43260,18980,56059.59649122807,92899,7051.333333333333,15456,2026-06-24,20450,45839,4408,57,20300.0,45275.333333333336,4356.5,6.0,20781.53846153846,4978.384615384615,13.0,P_09426a8154,e 東京喰種 W,ビスティ,東京喰種,,スマパチ,True,False,True,46.67,40.27,41.79,28.49,25.22,14.0,0,40.49,51.05,38.76,C,C,D,e 東京喰種 Wは最新稼働20450、直近4週平均稼働20300、稼働貢献週57週。現役人気指数40.5、長期名機指数51.0、ホール資産指数38.8。
