machine_id,machine_name,category,report_date,maker_name,series_name,machine_type,is_smart,is_lt,latest_operation,avg_operation_4w,avg_operation_12w,avg_operation_all,max_operation,min_operation,operation_contribution_weeks,latest_sales,avg_sales_4w,avg_sales_12w,avg_sales_all,latest_gross_profit,avg_gross_profit_4w,avg_gross_profit_12w,avg_gross_profit_all,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,market_score,asset_score,recommendation_score,overall_score,overall_grade,score_reason,ai_comment,current_operation_score,latest_operation_score,trend_score,profit_power_score,profit_stability_score,lifecycle_power_score,market_power_score,sns_power_score,active_popularity_score_v2,profit_score_v2,lifecycle_score_v2,asset_score_v2,overall_score_v2,overall_grade_v2,active_rank,profit_rank,lifecycle_rank,overall_rank,score_reason_v2,ai_comment_v2
P_7513f0ecaf,e 東京喰種 超デカ 超一撃 ver.,P,2026-06-24,ビスティ,東京喰種,スマパチ,True,False,41270,42600.0,42600.0,42600.0,43930,41270,2,91375,93030.0,93030.0,93030.0,13047,12211.5,12211.5,12211.5,84.42,87.42,79.11,50.44,0,76.28,76.68,76.83,A,"直近4週稼働=42600, 最新稼働=41270, 平均粗利4週=12212, 稼働貢献週=2",e 東京喰種 超デカ 超一撃 ver.は直近4週平均稼働42600、最新稼働41270。人気指数87.4、粗利指数79.1、寿命指数50.4。,100.0,96.84,98.44,71.68,66.74,0.88,50,50,91.32,69.28,50.08,71.23,74.55,A,1,1,9,1,直近4週稼働スコア100.0 / 最新稼働スコア96.8 / トレンドスコア98.4 / 粗利スコア71.7 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,e 東京喰種 超デカ 超一撃 ver.は、現役人気指数91.3、粗利指数69.3、寿命指数50.1、総合評価74.5（A）。主な根拠は、直近4週稼働スコア100.0 / 最新稼働スコア96.8 / トレンドスコア98.4 / 粗利スコア71.7 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
P_4604205b4a,eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08,P,2026-06-24,大都技研,ソードアート・オンライン,スマパチ,True,False,23470,26810.0,26810.0,26810.0,30150,23470,2,59220,66822.5,66822.5,66822.5,9334,10084.0,10084.0,10084.0,58.96,50.11,59.38,29.34,0,50.13,45.96,48.28,C,"直近4週稼働=26810, 最新稼働=23470, 平均粗利4週=10084, 稼働貢献週=2",eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08は直近4週平均稼働26810、最新稼働23470。人気指数50.1、粗利指数59.4、寿命指数29.3。,62.93,51.88,93.77,59.98,55.76,0.88,50,50,62.3,53.82,39.88,53.62,54.39,C,2,2,24,2,直近4週稼働スコア62.9 / 最新稼働スコア51.9 / トレンドスコア93.8 / 粗利スコア60.0 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08は、現役人気指数62.3、粗利指数53.8、寿命指数39.9、総合評価54.4（C）。主な根拠は、直近4週稼働スコア62.9 / 最新稼働スコア51.9 / トレンドスコア93.8 / 粗利スコア60.0 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
P_dc3a0db759,eリコリス・リコイル M3,P,2026-06-24,ニューギン,,スマパチ,True,False,22580,25790.0,31422.727272727272,31422.727272727272,43280,22580,11,52532,59708.0,71715.18181818182,71715.18181818182,7790,8470.166666666666,10762.272727272728,10762.272727272728,52.85,47.88,52.13,34.48,0,47.11,44.97,46.19,C,"直近4週稼働=25790, 最新稼働=22580, 平均粗利4週=8470, 稼働貢献週=11",eリコリス・リコイル M3は直近4週平均稼働25790、最新稼働22580。人気指数47.9、粗利指数52.1、寿命指数34.5。,60.54,49.63,84.81,51.11,59.26,4.87,50,50,59.33,50.0,39.29,51.12,51.76,C,3,4,26,3,直近4週稼働スコア60.5 / 最新稼働スコア49.6 / トレンドスコア84.8 / 粗利スコア51.1 / 稼働貢献スコア4.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,eリコリス・リコイル M3は、現役人気指数59.3、粗利指数50.0、寿命指数39.3、総合評価51.8（C）。主な根拠は、直近4週稼働スコア60.5 / 最新稼働スコア49.6 / トレンドスコア84.8 / 粗利スコア51.1 / 稼働貢献スコア4.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
P_157d26301d,eひきこまり吸血姫の悶々 FHV,P,2026-06-24,藤商事,,スマパチ,True,False,18550,25523.33333333333,25523.33333333333,25523.33333333333,32390,18550,6,42335,57044.0,57044.0,57044.0,7553,8774.666666666666,8774.666666666666,8774.666666666666,53.45,43.83,53.17,28.51,0,44.97,41.11,43.22,C,"直近4週稼働=25523, 最新稼働=18550, 平均粗利4週=8775, 稼働貢献週=6",eひきこまり吸血姫の悶々 FHVは直近4週平均稼働25523、最新稼働18550。人気指数43.8、粗利指数53.2、寿命指数28.5。,59.91,39.45,86.34,52.78,49.0,2.65,50,50,56.25,48.44,38.44,49.33,49.7,C,4,5,34,4,直近4週稼働スコア59.9 / 最新稼働スコア39.5 / トレンドスコア86.3 / 粗利スコア52.8 / 稼働貢献スコア2.6 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,eひきこまり吸血姫の悶々 FHVは、現役人気指数56.2、粗利指数48.4、寿命指数38.4、総合評価49.7（C）。主な根拠は、直近4週稼働スコア59.9 / 最新稼働スコア39.5 / トレンドスコア86.3 / 粗利スコア52.8 / 稼働貢献スコア2.6 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
P_1f02c418ae,eフィーバー デッドマウント・デスプレイ 魂神9000,P,2026-06-24,SANKYO,,スマパチ,True,False,18650,20905.0,20905.0,20905.0,23160,18650,2,45052,50043.5,50043.5,50043.5,8768,8846.0,8846.0,8846.0,48.09,37.65,50.21,21.45,0,40.06,35.13,37.79,D,"直近4週稼働=20905, 最新稼働=18650, 平均粗利4週=8846, 稼働貢献週=2",eフィーバー デッドマウント・デスプレイ 魂神9000は直近4週平均稼働20905、最新稼働18650。人気指数37.6、粗利指数50.2、寿命指数21.4。,49.07,39.71,94.61,53.17,49.37,0.88,50,50,53.23,46.36,36.59,47.17,47.28,C,8,6,43,5,直近4週稼働スコア49.1 / 最新稼働スコア39.7 / トレンドスコア94.6 / 粗利スコア53.2 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,eフィーバー デッドマウント・デスプレイ 魂神9000は、現役人気指数53.2、粗利指数46.4、寿命指数36.6、総合評価47.3（C）。主な根拠は、直近4週稼働スコア49.1 / 最新稼働スコア39.7 / トレンドスコア94.6 / 粗利スコア53.2 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
P_073de2d019,遊moreLT PエガブレイブVVV AX4,P,2026-06-24,豊丸,,LT,False,True,15340,18550.0,18550.0,18550.0,21760,15340,2,20002,24095.5,24095.5,24095.5,8754,10986.5,10986.5,10986.5,51.74,32.25,57.24,18.31,0,40.71,32.0,36.56,D,"直近4週稼働=18550, 最新稼働=15340, 平均粗利4週=10986, 稼働貢献週=2",遊moreLT PエガブレイブVVV AX4は直近4週平均稼働18550、最新稼働15340。人気指数32.2、粗利指数57.2、寿命指数18.3。,43.54,31.35,91.35,64.95,60.42,0.88,50,50,48.02,53.36,34.55,47.39,46.57,C,16,3,55,6,直近4週稼働スコア43.5 / 最新稼働スコア31.4 / トレンドスコア91.3 / 粗利スコア65.0 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,遊moreLT PエガブレイブVVV AX4は、現役人気指数48.0、粗利指数53.4、寿命指数34.5、総合評価46.6（C）。主な根拠は、直近4週稼働スコア43.5 / 最新稼働スコア31.4 / トレンドスコア91.3 / 粗利スコア65.0 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
P_0264d647ff,P大海物語5 MTE2,P,2026-06-24,三洋,海物語,パチンコ,False,False,17570,16328.333333333334,16949.23076923077,20555.714285714286,36320,14990,168,28572,26486.0,27507.53846153846,33220.982142857145,2203,1941.0,2202.0,2595.095238095238,21.7,35.89,18.99,52.57,0,31.62,37.94,34.57,D,"直近4週稼働=16328, 最新稼働=17570, 平均粗利4週=1941, 稼働貢献週=168",P大海物語5 MTE2は直近4週平均稼働16328、最新稼働17570。人気指数35.9、粗利指数19.0、寿命指数52.6。,38.33,36.98,101.97,15.2,15.06,74.34,50,50,49.22,25.71,68.43,44.91,46.54,C,12,31,2,7,直近4週稼働スコア38.3 / 最新稼働スコア37.0 / トレンドスコア102.0 / 粗利スコア15.2 / 稼働貢献スコア74.3 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,P大海物語5 MTE2は、現役人気指数49.2、粗利指数25.7、寿命指数68.4、総合評価46.5（C）。主な根拠は、直近4週稼働スコア38.3 / 最新稼働スコア37.0 / トレンドスコア102.0 / 粗利スコア15.2 / 稼働貢献スコア74.3 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
P_56b075b770,P 魔法少女まどか☆マギカ3 キュゥべえver.,P,2026-06-24,京楽産業．,まどか☆マギカ,パチンコ,False,False,20180,22330.0,22330.0,22330.0,24480,20180,2,39609,43189.5,43189.5,43189.5,6332,6764.0,6764.0,6764.0,43.52,40.26,42.77,23.36,0,38.01,36.2,37.28,D,"直近4週稼働=22330, 最新稼働=20180, 平均粗利4週=6764, 稼働貢献週=2",P 魔法少女まどか☆マギカ3 キュゥべえver.は直近4週平均稼働22330、最新稼働20180。人気指数40.3、粗利指数42.8、寿命指数23.4。,52.42,43.57,95.19,41.73,38.62,0.88,50,50,55.82,39.16,37.54,45.75,46.49,C,5,14,40,8,直近4週稼働スコア52.4 / 最新稼働スコア43.6 / トレンドスコア95.2 / 粗利スコア41.7 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,P 魔法少女まどか☆マギカ3 キュゥべえver.は、現役人気指数55.8、粗利指数39.2、寿命指数37.5、総合評価46.5（C）。主な根拠は、直近4週稼働スコア52.4 / 最新稼働スコア43.6 / トレンドスコア95.2 / 粗利スコア41.7 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
P_09426a8154,e 東京喰種 W,P,2026-06-24,ビスティ,東京喰種,スマパチ,True,False,20450,20300.0,20781.53846153846,25497.54385964912,43260,18980,57,45839,45275.333333333336,46283.38461538462,56059.59649122807,4408,4356.5,4978.384615384615,7051.333333333333,33.79,39.51,31.58,33.2,0,34.68,36.8,35.78,D,"直近4週稼働=20300, 最新稼働=20450, 平均粗利4週=4356, 稼働貢献週=57",e 東京喰種 Wは直近4週平均稼働20300、最新稼働20450。人気指数39.5、粗利指数31.6、寿命指数33.2。,47.65,44.25,99.21,28.49,29.4,25.22,50,50,54.72,32.18,48.1,45.04,46.31,C,6,20,10,9,直近4週稼働スコア47.6 / 最新稼働スコア44.2 / トレンドスコア99.2 / 粗利スコア28.5 / 稼働貢献スコア25.2 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,e 東京喰種 Wは、現役人気指数54.7、粗利指数32.2、寿命指数48.1、総合評価46.3（C）。主な根拠は、直近4週稼働スコア47.6 / 最新稼働スコア44.2 / トレンドスコア99.2 / 粗利スコア28.5 / 稼働貢献スコア25.2 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
P_c67908752a,P大海物語5スペシャル ALTA,P,2026-06-24,三洋,海物語,LT,False,True,20970,19633.33333333333,20815.384615384617,21859.0,31690,18410,80,32782,30625.0,32510.76923076923,33970.2875,2971,2542.833333333333,2989.923076923077,3172.4625,27.5,39.56,23.75,37.96,0,32.13,37.01,34.54,D,"直近4週稼働=19633, 最新稼働=20970, 平均粗利4週=2543, 稼働貢献週=80",P大海物語5スペシャル ALTAは直近4週平均稼働19633、最新稼働20970。人気指数39.6、粗利指数23.8、寿命指数38.0。,46.09,45.57,100.56,18.51,19.13,35.4,50,50,54.69,25.84,52.56,43.7,45.4,C,7,29,7,10,直近4週稼働スコア46.1 / 最新稼働スコア45.6 / トレンドスコア100.6 / 粗利スコア18.5 / 稼働貢献スコア35.4 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,P大海物語5スペシャル ALTAは、現役人気指数54.7、粗利指数25.8、寿命指数52.6、総合評価45.4（C）。主な根拠は、直近4週稼働スコア46.1 / 最新稼働スコア45.6 / トレンドスコア100.6 / 粗利スコア18.5 / 稼働貢献スコア35.4 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
