machine_id,machine_name,peak_out_per_unit,peak_out_date,peak_sales_per_unit,peak_profit_per_unit,peak_ratio_out,peak_ratio_sales,peak_ratio_profit,drop_from_peak_out,drop_rate_from_peak_out
241,SLOTバジリスク～甲賀忍法帖～絆2,23933.0,2020-02-26,46644.0,5550.0,0.06827393139180211,0.10691621644798903,0.2300900900900901,-22299.0,-0.9317260686081978
253,パチスロ ケロット4,12710.0,2020-03-11,21175.0,3224.0,0.3796223446105429,0.5180637544273908,0.9714640198511166,-7885.0,-0.6203776553894571
293,サンダーVライトニング,9308.0,2020-04-30,16099.0,2474.0,0.3857971637301246,0.44555562457295483,0.51535974130962,-5717.0,-0.6142028362698754
307,パチスロ モンキーターンⅣ,10729.0,2020-06-03,28967.0,3081.0,0.20654301426041569,0.2488348810715642,0.14735475494969166,-8513.0,-0.7934569857395843
337,シャア専用パチスロ 逆襲の赤い彗星,17450.0,2020-08-12,57875.0,9748.0,0.36034383954154725,0.36746436285097195,0.43342224045958144,-11162.0,-0.6396561604584527
395,アイムジャグラーEX(2020年),13477.0,2021-01-04,24730.0,4609.0,0.5889292869332937,0.6359078042862919,0.4836190062920373,-5540.0,-0.41107071306670623
397,パチスロひぐらしのなく頃に祭2,20180.0,2021-01-04,36074.0,7539.0,0.3366204162537165,0.3327604368797472,-0.03501790688420215,-13387.0,-0.6633795837462835
411,パチスロ頭文字D,18155.0,2021-01-20,44821.0,5600.0,0.1587992288625723,0.18245911514691773,0.11678571428571428,-15272.0,-0.8412007711374277
432,パチスロ BIOHAZARD 7 resident evil,18015.0,2021-02-17,51708.0,5685.0,0.1601443241742992,0.18722441401717335,0.2478452066842568,-15130.0,-0.8398556758257008
442,PAわんわんパラダイスV GBA,29660.0,2021-03-17,38396.0,5392.0,0.3196223870532704,0.37798208146681944,0.514280415430267,-20180.0,-0.6803776129467296
453,パチスロ北斗の拳 宿命,17275.0,2021-03-17,49505.0,4373.0,0.1087698986975398,0.12816887183112816,0.1495540818659959,-15396.0,-0.8912301013024602
469,ニューパルサーSPⅢ,10864.0,2021-04-14,19708.0,3292.0,0.2857142857142857,0.3777653744672214,0.5750303766707169,-7760.0,-0.7142857142857143
492,P大海物語4 スペシャル BLACK SCA,28580.0,2021-06-02,38637.0,3808.0,0.40552834149755074,0.4331858063514248,0.6215861344537815,-16990.0,-0.5944716585024493
503,チバリヨ-30(2021年),15159.0,2021-08-18,47404.0,6494.0,0.2127449040174154,0.21325204624082356,0.14875269479519557,-11934.0,-0.7872550959825846
511,P NEW TOKIO ハカマタイプ,23900.0,2021-07-07,14408.0,2647.0,0.6481171548117155,0.6660882842865075,0.2772950510011334,-8410.0,-0.3518828451882845
533,SLOT劇場版魔法少女まどか☆マギカ[前編]始まりの物語／[後編]永遠の物語,19635.0,2021-08-11,43031.0,5884.0,0.0907563025210084,0.13322953219771794,0.27073419442556085,-17853.0,-0.9092436974789916
554,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,29390.0,2021-09-29,33008.0,4557.0,0.36270840421912215,0.45734367426078526,0.7412771560236998,-18730.0,-0.6372915957808778
567,ファンキージャグラー2,14020.0,2022-05-11,25108.0,4824.0,0.6547075606276748,0.7071053050820456,0.5439469320066335,-4841.0,-0.34529243937232523
569,Pうまい棒 4500～10500,37340.0,2021-10-27,73092.0,19521.0,0.18826995179432243,0.22096809500355716,0.2585420828850981,-30310.0,-0.8117300482056775
576,P 009 RE:CYBORG ACCELERATOR EDITION M4-K,36670.0,2021-11-17,67400.0,14445.0,0.20425415871284427,0.22173590504451038,0.23641398407753547,-29180.0,-0.7957458412871558
599,P野生の王国GO 99ver.,24910.0,2021-12-15,31831.0,5102.0,0.3404255319148936,0.39945336307373314,0.5362602900823207,-16430.0,-0.6595744680851063
604,パチスロうまい棒(2021年),10517.0,2021-12-22,21329.0,2563.0,0.10773034135209661,0.1506399737446669,0.21342177136168552,-9384.0,-0.8922696586479034
605,マイジャグラーⅤ,16697.0,2022-05-11,28532.0,5719.0,0.8320057495358447,0.8497827001261741,0.47455848924637173,-2805.0,-0.16799425046415523
611,パチスロ 戦姫絶唱シンフォギア 勇気の歌,14829.0,2021-12-29,44534.0,6589.0,0.15058331647447568,0.16475052768671128,0.12141447867658219,-12596.0,-0.8494166835255244
612,沖ドキ!DUO,12035.0,2022-01-12,39982.0,5939.0,0.2095554632322393,0.26586964133860236,0.3165516080148173,-9513.0,-0.7904445367677607
613,沖ドキ!DUO-30,12725.0,2022-01-12,41939.0,6611.0,0.16652259332023575,0.22053458594625527,0.29844199062169113,-10606.0,-0.8334774066797642
615,P Re:ゼロから始める異世界生活 鬼がかりver.,47540.0,2022-01-19,89578.0,18575.0,0.18447623054270088,0.2151644376967559,0.1918707940780619,-38770.0,-0.8155237694572991
621,バーサスリヴァイズ,10366.0,2022-01-26,16622.0,1306.0,0.6945784294809956,0.7151967272289736,0.48009188361408883,-3166.0,-0.3054215705190044
628,パチスロ ディスクアップ2,17287.0,2022-02-02,29950.0,1230.0,0.4927980563429166,0.5176961602671118,-0.41544715447154473,-8768.0,-0.5072019436570834
630,パチスロアラジンAクラシック,16156.0,2022-02-02,49336.0,7005.0,0.14861351819757365,0.18582779309226527,0.16202712348322626,-13755.0,-0.8513864818024264
633,押忍!番長ZERO,18986.0,2022-02-09,47605.0,5514.0,0.2311176656483725,0.29286839617687216,0.4397896264055132,-14598.0,-0.7688823343516276
642,ハナハナホウオウ～天翔～,7460.0,2022-02-16,12037.0,3349.0,0.4785522788203753,0.5635955802940932,0.5568826515377725,-3890.0,-0.5214477211796247
643,ハナハナホウオウ～天翔～-30,11833.0,2023-01-11,18729.0,4165.0,0.8674892250485929,0.8507127983341343,0.8189675870348139,-1568.0,-0.1325107749514071
650,SLOTマッピー,18862.0,2022-03-02,29627.0,1257.0,0.43738733962464216,0.43345596921726803,-1.422434367541766,-10612.0,-0.5626126603753578
665,ニューパルサーDXⅢ,5430.0,2022-05-11,10965.0,2769.0,0.8020257826887661,0.8287277701778386,0.6601661249548574,-1075.0,-0.19797421731123388
670,沖ドキ!2-30,5316.0,2023-08-23,14194.0,3111.0,0.6092927012791572,0.6418909398337326,0.8193506910961106,-2077.0,-0.39070729872084276
681,パチスロ この素晴らしい世界に祝福を!,19126.0,2022-04-13,44114.0,6664.0,0.3891561225556834,0.4082150791132067,0.35669267707082836,-11683.0,-0.6108438774443167
684,新ハナビ,10464.0,2024-08-21,15342.0,569.0,0.8373470948012233,0.8854125928822839,0.3022847100175747,-1702.0,-0.16265290519877676
705,PAコマコマ倶楽部with坂本冬美 99ver.,29340.0,2022-06-15,35691.0,7986.0,0.2886843899113838,0.3514051161357205,0.35336839469070874,-20870.0,-0.7113156100886162
723,スーパーハナハナ2-30,9135.0,2026-01-07,26245.0,6968.0,0.759496442255063,0.7809868546389789,0.7098163030998852,-2197.0,-0.24050355774493706
