machine_id,machine_name,trend,life_stage,life_score,change_rate_4w_vs_12w,peak_ratio_out,days_since_last_seen,data_count
241,SLOTバジリスク～甲賀忍法帖～絆2,微減,準現役,30,-0.08417027194066755,0.06827393139180211,287,86
253,パチスロ ケロット4,横ばい,準現役,30,0.017153798061894415,0.3796223446105429,287,81
293,サンダーVライトニング,横ばい,準現役,30,0.0,0.3857971637301246,287,2
307,パチスロ モンキーターンⅣ,下降,準現役,30,-0.21032181910585762,0.20654301426041569,287,21
337,シャア専用パチスロ 逆襲の赤い彗星,微増,準現役,30,0.054503137613057126,0.36034383954154725,196,54
395,アイムジャグラーEX(2020年),微減,下降期,45,-0.045991285861626256,0.5889292869332937,0,232
397,パチスロひぐらしのなく頃に祭2,下降,準現役,30,-0.16528778419969894,0.3366204162537165,287,17
411,パチスロ頭文字D,微減,準現役,30,-0.072561514489046,0.1587992288625723,287,91
432,パチスロ BIOHAZARD 7 resident evil,横ばい,準現役,30,-0.02933882206063475,0.1601443241742992,287,91
442,PAわんわんパラダイスV GBA,微減,準現役,30,-0.08664119160882794,0.3196223870532704,602,183
453,パチスロ北斗の拳 宿命,下降,準現役,30,-0.40469919018129846,0.1087698986975398,287,18
469,ニューパルサーSPⅢ,微減,準現役,30,-0.051635765361007405,0.2857142857142857,287,73
492,P大海物語4 スペシャル BLACK SCA,横ばい,準現役,30,-0.012083303717392798,0.40552834149755074,637,140
503,チバリヨ-30(2021年),横ばい,準現役,30,-0.028009603292557448,0.2127449040174154,287,110
511,P NEW TOKIO ハカマタイプ,横ばい,下降期,45,0.0023657570422535613,0.6481171548117155,0,184
533,SLOT劇場版魔法少女まどか☆マギカ[前編]始まりの物語／[後編]永遠の物語,下降,準現役,30,-0.380962900094174,0.0907563025210084,287,8
554,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,微増,準現役,30,0.04518366983901101,0.36270840421912215,413,168
567,ファンキージャグラー2,横ばい,成熟期,90,-0.02515060377804222,0.6547075606276748,0,229
569,Pうまい棒 4500～10500,横ばい,準現役,30,0.01120358514724712,0.18826995179432243,441,121
576,P 009 RE:CYBORG ACCELERATOR EDITION M4-K,微減,撤去検討期,20,-0.07561615102254847,0.20425415871284427,14,141
599,P野生の王国GO 99ver.,微減,準現役,30,-0.048550171690194516,0.3404255319148936,203,152
604,パチスロうまい棒(2021年),下降,準現役,30,-0.17666203694106425,0.10773034135209661,287,14
605,マイジャグラーⅤ,横ばい,成熟期,90,-0.01754756488314702,0.8320057495358447,0,227
611,パチスロ 戦姫絶唱シンフォギア 勇気の歌,微減,準現役,30,-0.06561822125813449,0.15058331647447568,287,75
612,沖ドキ!DUO,横ばい,準現役,30,0.011213047910295617,0.2095554632322393,287,103
613,沖ドキ!DUO-30,下降,準現役,30,-0.1296501769003706,0.16652259332023575,287,91
615,P Re:ゼロから始める異世界生活 鬼がかりver.,微減,準現役,30,-0.03027027027027027,0.18447623054270088,504,139
621,バーサスリヴァイズ,横ばい,準現役,30,-0.004383302987389574,0.6945784294809956,287,111
628,パチスロ ディスクアップ2,微減,準現役,30,-0.07789690326903748,0.4927980563429166,287,134
630,パチスロアラジンAクラシック,下降,準現役,30,-0.18262384970140058,0.14861351819757365,287,41
633,押忍!番長ZERO,微減,準現役,30,-0.04313056542355911,0.2311176656483725,287,104
642,ハナハナホウオウ～天翔～,微増,準現役,30,0.03188277599369274,0.4785522788203753,287,71
643,ハナハナホウオウ～天翔～-30,微増,準現役,30,0.0542176645716176,0.8674892250485929,168,183
650,SLOTマッピー,微減,準現役,30,-0.06641147220913116,0.43738733962464216,287,35
665,ニューパルサーDXⅢ,横ばい,準現役,30,0.02053803876193235,0.8020257826887661,287,38
670,沖ドキ!2-30,微減,準現役,30,-0.058682851343475485,0.6092927012791572,287,18
681,パチスロ この素晴らしい世界に祝福を!,微減,撤去検討期,20,-0.03434942994785411,0.3891561225556834,0,202
684,新ハナビ,横ばい,準現役,30,-0.012377577870448719,0.8373470948012233,196,96
705,PAコマコマ倶楽部with坂本冬美 99ver.,微減,準現役,30,-0.05610892808187876,0.2886843899113838,581,125
723,スーパーハナハナ2-30,横ばい,準現役,30,0.00130865107296678,0.759496442255063,77,121
724,ニューゲッターマウス,微減,準現役,30,-0.05485861531158886,0.2323207171314741,287,33
727,パチスロ 甲鉄城のカバネリ,下降,準現役,30,-0.10231116817699198,0.25026325026325025,287,98
