machine_id,machine_name,latest_data_date,data_count,is_new_machine,avg_out_4w,avg_sales_4w,avg_profit_4w,market_power_score,trend_score,trend_strength,new_machine_score,new_machine_judge
241,SLOTバジリスク～甲賀忍法帖～絆2,2025-09-10,86,0,3951.5,10124.25,1831.5,4.1,20.0,強い下降,,対象外
253,パチスロ ケロット4,2025-09-10,81,0,4338.5,9806.5,2642.5,8.2,52.2,横ばい,,対象外
293,サンダーVライトニング,2025-09-10,2,1,6449.5,11636.0,1874.5,13.1,24.9,強い下降,13.9,厳しい
307,パチスロ モンキーターンⅣ,2025-09-10,21,0,4014.0,12215.75,1122.5,3.6,21.6,強い下降,,対象外
337,シャア専用パチスロ 逆襲の赤い彗星,2025-12-10,54,0,5965.5,20894.75,4514.5,37.1,70.7,上昇,,対象外
395,アイムジャグラーEX(2020年),2026-06-24,232,0,7554.0,14893.75,2150.0,21.4,31.8,下降,,対象外
397,パチスロひぐらしのなく頃に祭2,2025-09-10,17,1,7810.75,14465.25,1226.5,20.2,26.1,強い下降,21.2,厳しい
411,パチスロ頭文字D,2025-09-10,91,0,4984.75,12588.5,1151.0,5.9,26.2,強い下降,,対象外
432,パチスロ BIOHAZARD 7 resident evil,2025-09-10,91,0,4794.5,14341.0,1536.5,7.2,24.7,強い下降,,対象外
442,PAわんわんパラダイスV GBA,2024-10-30,183,0,9760.0,14815.75,2610.25,39.6,32.4,下降,,対象外
453,パチスロ北斗の拳 宿命,2025-09-10,18,1,3540.75,11422.0,1569.5,2.8,0.0,強い下降,2.5,厳しい
469,ニューパルサーSPⅢ,2025-09-10,73,0,3746.75,8654.5,2134.5,4.4,37.6,下降,,対象外
492,P大海物語4 スペシャル BLACK SCA,2024-09-25,140,0,11582.5,16792.25,2284.5,49.9,46.0,横ばい,,対象外
503,チバリヨ-30(2021年),2025-09-10,110,0,4251.0,14106.5,1827.0,6.9,31.0,下降,,対象外
511,P NEW TOKIO ハカマタイプ,2026-06-24,184,0,15182.5,9451.5,834.75,47.0,48.0,横ばい,,対象外
533,SLOT劇場版魔法少女まどか☆マギカ[前編]始まりの物語／[後編]永遠の物語,2025-09-10,8,1,6655.5,16662.75,2049.5,20.4,0.0,強い下降,19.5,厳しい
554,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,2025-05-07,168,0,9792.5,13805.5,2846.75,40.1,51.9,横ばい,,対象外
567,ファンキージャグラー2,2026-06-24,229,0,8940.75,17156.0,2449.0,36.7,37.4,下降,,対象外
569,Pうまい棒 4500～10500,2025-04-09,121,0,7897.5,17930.25,5832.0,43.6,56.3,横ばい,,対象外
576,P 009 RE:CYBORG ACCELERATOR EDITION M4-K,2026-06-10,141,0,7345.0,14619.25,3551.5,27.7,24.9,強い下降,,対象外
599,P野生の王国GO 99ver.,2025-12-03,152,0,8312.5,12472.25,2680.5,26.5,37.3,下降,,対象外
604,パチスロうまい棒(2021年),2025-09-10,14,1,3309.75,7619.5,1645.25,2.1,19.2,強い下降,2.8,厳しい
605,マイジャグラーⅤ,2026-06-24,227,0,13567.75,23563.25,2548.75,67.5,40.7,下降,,対象外
611,パチスロ 戦姫絶唱シンフォギア 勇気の歌,2025-09-10,75,0,3876.75,12256.25,1703.75,4.4,21.8,強い下降,,対象外
612,沖ドキ!DUO,2025-09-10,103,0,3968.0,16022.0,3047.0,14.7,39.5,下降,,対象外
613,沖ドキ!DUO-30,2025-09-10,91,0,3464.5,13879.0,2402.25,7.3,4.7,強い下降,,対象外
615,P Re:ゼロから始める異世界生活 鬼がかりver.,2025-02-05,139,0,8970.0,19773.0,3503.0,47.1,25.4,強い下降,,対象外
621,バーサスリヴァイズ,2025-09-10,111,0,7382.0,12151.5,558.0,15.6,53.7,横ばい,,対象外
628,パチスロ ディスクアップ2,2025-09-10,134,0,9632.75,17503.75,-168.5,38.4,36.0,下降,,対象外
630,パチスロアラジンAクラシック,2025-09-10,41,0,3205.0,11742.0,2003.25,4.0,0.0,強い下降,,対象外
633,押忍!番長ZERO,2025-09-10,104,0,5095.25,15243.75,2393.5,12.1,33.0,下降,,対象外
642,ハナハナホウオウ～天翔～,2025-09-10,71,0,4471.75,8054.5,2200.0,5.8,59.8,横ばい,,対象外
643,ハナハナホウオウ～天翔～-30,2026-01-07,183,0,7967.25,12448.75,2044.75,21.4,54.7,横ばい,,対象外
650,SLOTマッピー,2025-09-10,35,0,8089.0,13895.0,-535.5,20.8,21.4,強い下降,,対象外
665,ニューパルサーDXⅢ,2025-09-10,38,0,4116.0,8751.75,1847.25,4.4,59.3,横ばい,,対象外
670,沖ドキ!2-30,2025-09-10,18,1,3903.25,10474.25,2379.0,6.1,28.9,強い下降,6.9,厳しい
681,パチスロ この素晴らしい世界に祝福を!,2026-06-24,202,0,7700.5,18357.0,2313.25,28.8,40.0,下降,,対象外
684,新ハナビ,2025-12-10,96,0,8664.0,13304.75,98.0,24.6,48.7,横ばい,,対象外
705,PAコマコマ倶楽部with坂本冬美 99ver.,2024-11-20,125,0,8607.5,12656.25,2973.25,30.2,33.8,下降,,対象外
723,スーパーハナハナ2-30,2026-04-08,121,0,6567.5,19752.5,4242.25,36.8,33.3,下降,,対象外
724,ニューゲッターマウス,2025-09-10,33,0,4646.0,8162.5,1068.75,3.5,13.4,強い下降,,対象外
727,パチスロ 甲鉄城のカバネリ,2025-09-10,98,0,6059.25,18808.75,1508.5,19.1,13.4,強い下降,,対象外
740,黄門ちゃま喝2,2025-09-10,62,0,3596.25,11441.0,2307.5,5.3,17.0,強い下降,,対象外
744,パチスロ 新鬼武者2,2025-09-10,77,0,5166.5,15881.25,1691.5,11.2,5.7,強い下降,,対象外
747,PA新海物語 ARBB,2025-10-22,65,0,10472.5,12041.25,1667.0,38.4,30.7,下降,,対象外
764,パチスロペルソナ5,2025-09-10,31,0,4174.25,11027.25,1490.25,3.7,5.6,強い下降,,対象外
774,パチスロ バイオハザード RE:2,2025-09-10,68,0,5244.25,14828.25,1851.75,9.9,14.7,強い下降,,対象外
776,パチスロハードボイルド(2022年),2025-09-10,32,0,4809.25,11446.0,1239.25,4.7,13.2,強い下降,,対象外
783,ハッピージャグラーVⅢ,2026-06-24,184,0,7859.5,15022.25,2309.25,24.2,35.2,下降,,対象外
795,花火絶景,2025-09-10,16,1,3565.5,12419.5,1609.25,3.8,0.0,強い下降,3.5,厳しい
798,Lパチスロ 革命機ヴァルヴレイヴ,2025-11-12,132,0,6149.75,24796.25,2961.25,35.6,43.7,下降,,対象外
799,L HEY!エリートサラリーマン鏡,2025-09-10,31,0,5143.25,14921.25,2184.25,10.6,14.9,強い下降,,対象外
816,沖ドキ!GOLD,2026-06-24,172,0,6256.0,24234.5,3395.25,37.8,28.3,強い下降,,対象外
817,沖ドキ!GOLD-30,2026-06-24,174,0,6421.5,24477.75,3179.75,37.9,31.7,下降,,対象外
820,Pスーパー海物語IN沖縄5 夜桜超旋風 99ver.,2026-06-24,171,0,10427.5,15686.25,2789.25,46.6,37.5,下降,,対象外
828,パチスロ モンスターハンターワールド:アイスボーン,2025-09-10,42,0,4304.25,12435.0,1778.75,5.8,6.4,強い下降,,対象外
830,P大海物語5 MTE2,2026-06-24,168,0,16402.5,26635.75,2047.75,72.6,36.0,下降,,対象外
831,P宇宙戦艦ヤマト2202 -ONLY ONE- LIGHT ver.,2026-06-24,137,0,8585.0,16615.25,2981.75,34.3,38.7,下降,,対象外
841,パチスロ盾の勇者の成り上がり,2025-09-10,14,1,3900.5,11286.25,1361.25,3.1,0.0,強い下降,2.9,厳しい
849,パチスロ機動戦士ガンダムユニコーン,2025-09-10,22,0,3746.5,12458.75,1529.25,4.0,10.8,強い下降,,対象外
850,戦国コレクション5,2025-09-10,36,0,3688.5,15479.5,2315.25,9.5,0.0,強い下降,,対象外
851,P 009 RE:CYBORG ACCELERATOR EDITION 99ver.,2026-06-24,162,0,11022.5,17328.25,3983.0,58.2,43.1,下降,,対象外
854,キングハナハナ-30(2023年),2026-06-24,163,0,10596.5,16845.5,1120.5,43.7,36.7,下降,,対象外
858,Lスマスロ北斗の拳,2025-09-10,117,0,7360.25,24133.25,1526.5,34.9,29.4,強い下降,,対象外
864,Lゴブリンスレイヤー,2026-02-11,46,0,5887.5,25115.25,5003.25,44.9,84.7,強い上昇,,対象外
866,Pフィーバー炎炎ノ消防隊 G,2024-09-04,68,0,10410.0,22707.75,3626.75,63.2,31.2,下降,,対象外
868,アナザーゴッドハーデス-解き放たれし槍撃ver.-,2025-09-10,18,1,4085.5,18280.75,2426.25,15.3,12.5,強い下降,14.7,厳しい
870,L主役は銭形4,2025-09-10,61,0,6021.0,23389.75,2314.75,30.1,33.5,下降,,対象外
875,P北斗の拳 暴凶星 SFPA,2026-01-14,133,0,10930.0,23036.75,3730.0,67.2,46.7,横ばい,,対象外
